optimal index,optimal thicknesses,predicted dose,actual dose,accuracy,thickness values,dose values,cost values,reward values
,,,,,[7.5848126 4.51233  ],0.11273032721908433,16.86922516197258,-221.25306297270248
,,,,,[7.528061  4.4278274],0.11357638096082481,16.481859257272266,-229.90473277035784
,,,,,[7.6987715 4.5609927],0.11180825276382142,17.09337466426204,-211.62598966235407
,,,,,[7.6821027 4.509436 ],0.11048204090678285,16.857001481098816,-197.22068638262493
,,,,,[7.783675 4.317172],0.10953511136448071,15.979024150057906,-186.225940437245
,,,,,[7.7881002 4.290736 ],0.1100738894294579,15.858482639702817,-191.86157483476578
,,,,,[7.6854362 4.1988235],0.11302302859620209,15.438790795671222,-222.94978007133452
,,,,,[7.7182145 4.2485824],0.11100138655925021,15.66562624984179,-201.57787581448073
,,,,,[7.769337  4.3494205],0.1090197093824061,16.126078673945862,-180.86656352871185
,,,,,[7.8064566 4.2982645],0.11012923901420102,15.893009436380334,-192.48744334878438
,,,,,[7.796243 4.363438],0.1091389667036399,16.190383598836913,-182.2049851334512
,,,,,[7.8323236 4.393822 ],0.10958509946615871,16.32959944859276,-187.1105766511431
,,,,,[7.885661  4.4152718],0.11093020321660949,16.42822490017137,-201.5799686673667
,,,,,[7.834456 4.382035],0.10964166984222842,16.275751299208093,-187.6611128614775
,,,,,[7.772356  4.4571695],0.10923902942255229,16.61868244350505,-183.70233012034566
,,,,,[7.6514797 4.3477254],0.10980936349784687,16.117091139908467,-189.29405158699035
,,,,,[7.72486   4.4407444],0.10898422827306983,16.543027783918262,-180.90444095774123
,,,,,[7.796249 4.279697],0.11040980296382871,15.808236451446152,-195.40014845816313
,,,,,[7.8958344 4.418039 ],0.11125680199161375,16.440985811947186,-205.08203273089754
,,,,,[7.8109083 4.3830175],0.10924172366636004,16.279993036977203,-183.39242536988354
,,,,,[7.7018137 4.302375 ],0.109780693438224,15.910650471503047,-188.78130686278502
,,,,,[7.7918725 4.378082 ],0.10901891201038635,16.257237760394762,-180.98920368332585
,,,,,[7.8017855 4.306357 ],0.10991356332030516,15.929872446289556,-190.22007885980622
,,,,,[7.8686438 4.17879  ],0.11517966945698896,15.349634982811644,-245.9016590959415
,,,,,[7.814709 4.338326],0.10961249878594292,16.075902404721024,-187.14960738274368
,,,,,[7.7192583 4.4630656],0.10927588581451872,16.645102605373484,-184.12251515365037
,,,,,[7.7509336 4.6208606],0.11404222560246427,17.368372698749116,-235.76821887892288
,,,,,[7.689018 4.507938],0.11036559138503993,16.85021327906926,-195.96977935855566
,,,,,[7.6253595 4.453814 ],0.11051248517954665,16.601771931514932,-197.2907161574406
,,,,,[7.6199594 4.392998 ],0.11027937269636723,16.323586080797874,-194.52201232403743
,,,,,[7.673102  4.4057813],0.10923685324686544,16.38258270519304,-183.44298064178957
,,,,,[7.6127424 4.538452 ],0.11261245717749116,16.98917940524387,-220.1137218998075
,,,,,[7.6803093 4.5449243],0.11148128866702531,17.019548151550552,-208.05895698729097
,,,,,[7.7582383 4.4677687],0.10932059917420398,16.667039598174167,-184.62215898069525
,,,,,[7.7389846 4.386392 ],0.10873652360901423,16.294653399354075,-178.00964922215564
,,,,,[7.792068  4.4240255],0.10908517087751299,16.467265570975155,-181.90712537346428
,,,,,[7.8300323 4.290752 ],0.11065954397078648,15.858997878001741,-198.11908303597687
,,,,,[7.633839 4.42647 ],0.11005437295992082,16.476769780217364,-192.2713526853543
,,,,,[7.612222 4.284259],0.1117371730101745,15.827088056719848,-209.6003039773875
,,,,,[7.7885847 4.341162 ],0.10925387833888936,16.08857464166711,-183.33086458706623
,,,,,[7.893047  4.5544977],0.1137490575694344,17.065667942586067,-232.3333770177399
,,,,,[7.993059  4.5538783],0.11780356361508262,17.063888601390676,-275.64896995911096
,,,,,[7.8327484 4.511486 ],0.11101897373524586,16.86798471197306,-202.96813145605267
,,,,,[7.787652  4.5486217],0.11142363807003983,17.03762623295296,-207.46110988722458
,,,,,[7.785033 4.442394],0.10916560113899704,16.55121032626097,-182.850367794178
,,,,,[7.9059434 4.307688 ],0.11230634201550468,15.937047550011835,-215.79112891224133
,,,,,[7.750585 4.36265 ],0.1088424124946262,16.186300122280404,-179.03258745803038
,,,,,[7.663096  4.4281063],0.1094961708166266,16.484564240632913,-186.31544903365216
,,,,,[7.8693676 4.4241457],0.11051809124178705,16.468633240646334,-197.21747129392674
,,,,,[7.8184133 4.4738817],0.11000167245107706,16.695656597965158,-191.92719987870294
,,,,,[7.7563725 4.365956 ],0.1088357107806549,16.20146250774284,-178.97615033525247
,,,,,[7.7420645 4.297582 ],0.10970802024453072,15.889216261897673,-187.9834496436361
,,,,,[7.833983 4.362864],0.10972018632572803,16.188160468768253,-188.41237335047788
,,,,,[7.8183694 4.4260445],0.10944651087273122,16.47677746385783,-185.77710730072977
,,,,,[7.787195  4.3397837],0.10925603056474006,16.082266220560612,-183.34755003188604
,,,,,[7.776751  4.3739195],0.10890048283131684,16.238059899610516,-179.7047568153887
,,,,,[7.6505804 4.3238916],0.11011708432731462,16.0082803482593,-192.472856494783
,,,,,[7.651983  4.3831067],0.1095862325797392,16.278718851541523,-187.07180196841335
,,,,,[7.5690613 4.4327393],0.11198450863900589,16.504759750058323,-212.920450337728
,,,,,[7.658532 4.341813],0.10974284688822425,16.090170479202875,-188.55648338758155
,,,,,[7.664348  4.2380204],0.11189450449342023,15.616954689585548,-211.0710625252717
,,,,,[7.6830983 4.31131  ],0.10981032463396823,15.951212705110402,-189.1384417004974
,,,,,[7.7819695 4.348757 ],0.1091153578008158,16.123181339814963,-181.88555100665036
,,,,,[7.696436  4.3299427],0.10937874053011798,16.03638289257173,-184.6126706075074
,,,,,[7.7816606 4.305498 ],0.10972014607406,15.925742005707795,-188.1495248482291
,,,,,[7.8470798 4.1816187],0.11454772609536992,15.362265388831363,-239.1627578607322
,,,,,[7.9080105 4.339525 ],0.11191243020759711,16.082364439995185,-211.72798631603268
