optimal index,optimal thicknesses,predicted dose,actual dose,accuracy,dose constraint,thickness values,dose values,cost values,reward values
84.0,10.0,0.07904859606234979,0.09161,0.13711826151784964,0.0936,[0.25598347 0.18820088],0.9787032743847482,0.45949435010649253,-9456.691058289725
,1.986510157585144,,,,,[0.4970664  0.45773527],0.959564427472675,1.1455399900479932,-9252.902243757942
,,,,,,[1.1891092 1.0671239],0.8948965381312979,2.9051331007798087,-8563.765583221484
,,,,,,[1.6447401 1.3899155],0.8453444430200332,3.948406314846027,-8035.406130887849
,,,,,,[1.5616904 1.403371 ],0.8513501058126375,3.9924639934917234,-8099.613252590046
,,,,,,[2.5501997 2.1815503],0.7200354160985395,6.795988367297227,-6699.482057796137
,,,,,,[3.0377173 2.4408643],0.6545080634751211,7.811008933529461,-6000.41852469337
,,,,,,[3.4304795 2.6510575],0.599612150570538,8.65923744938696,-5414.77195722009
,,,,,,[3.7848327 2.9507668],0.5431318106704633,9.90234082366839,-4812.592625764515
,,,,,,[3.7416587 2.9693139],0.546925169108455,9.979871087302653,-4853.197489767377
,,,,,,[4.503769 3.504235],0.4326242481074298,12.292136337545124,-3634.3460691092305
,,,,,,[4.8541846 3.7625883],0.3812445262653834,13.44108734171387,-3086.566367954784
,,,,,,[5.1991405 3.933027 ],0.3366675544341392,14.209204502660022,-2611.0847860639765
,,,,,,[5.5513306 4.035267 ],0.2964011294467748,14.67435346970182,-2181.353086875415
,,,,,,[5.887041  4.2207494],0.2561865559188163,15.51954430815801,-1752.555398141665
,,,,,,[6.053278 4.306178],0.23749633781358925,15.910565791161227,-1553.2646022611316
,,,,,,[6.5278597 4.5238767],0.18883298553349515,16.910921905956563,-1034.357348545862
,,,,,,[6.831808  4.7186894],0.15890021932287068,17.80737393629182,-715.4592897789272
,,,,,,[6.9559956 4.721146 ],0.1498777141838528,17.819960875971248,-619.0775910453386
,,,,,,[7.375024  4.9791927],0.11492800595139469,19.008157873915735,-246.87146932044013
,,,,,,[7.619213 5.170092],0.09617996511631752,19.884716988170172,-47.44844686335729
,,,,,,[7.852658  5.2013063],0.08350539865916426,20.029820960849456,-20.029820960849456
,,,,,,[8.021339  5.3175735],0.07324584737449805,20.561981663035642,-20.561981663035642
,,,,,,[8.206857  5.3789926],0.06427749561949841,20.843456704663396,-20.843456704663396
,,,,,,[8.328468  5.2853427],0.0612456154639342,20.418360222083255,-20.418360222083255
,,,,,,[8.489437  5.1719856],0.05736072004019316,19.902587638289155,-19.902587638289155
,,,,,,[8.587048 5.095824],0.05531587197159066,19.555259215994344,-19.555259215994344
,,,,,,[8.702057 5.124418],0.051136609704540203,19.687321145226726,-19.687321145226726
,,,,,,[8.860295  4.9856124],0.04867927818404122,19.05331983121519,-19.05331983121519
,,,,,,[8.991897 4.63248 ],0.0507661804052289,17.434800533542152,-17.434800533542152
,,,,,,[9.0939045 4.4877863],0.05046213859676335,16.772813268996938,-16.772813268996938
,,,,,,[9.176091  4.3636513],0.05046022476571538,16.205958481840344,-16.205958481840344
,,,,,,[9.30626  4.255249],0.049185427470431864,15.712789850000934,-15.712789850000934
,,,,,,[9.411703 4.209517],0.047663853463040695,15.505688465109543,-15.505688465109543
,,,,,,[9.58845   3.9871204],0.04791478256127213,14.499408080829523,-14.499408080829523
,,,,,,[9.761618  3.8832502],0.04679632372690534,14.033377002385578,-14.033377002385578
,,,,,,[9.937003  3.8453376],0.045149320225773504,13.865008331277139,-13.865008331277139
,,,,,,[10.         3.5820043],0.04861061138911282,12.692703686307134,-12.692703686307134
,,,,,,[10.         3.3238428],0.05291767385988966,11.561432015315308,-11.561432015315308
,,,,,,[10.         3.0724406],0.05736046307055265,10.481153099290662,-10.481153099290662
