optimal index,optimal thicknesses,predicted dose,actual dose,accuracy,dose constraint,thickness values,dose values,cost values,reward values
,,,,,,[3.9957044 0.01      5.094583 ],0.18684222276282658,0.12109383701515242,-4594.199619670147
,,,,,,[3.9458404 0.01      5.174881 ],0.18684222252278376,0.12137800957634681,-4594.199896655797
,,,,,,[3.835917 0.01     5.266379],0.1868422221759482,0.12120924336250027,-4594.199717505286
,,,,,,[3.870691  0.01      5.5372195],0.18684222057851288,0.12405275346100098,-4594.202513187978
,,,,,,[3.8034213 0.01      5.711616 ],0.18684221750205426,0.12505245776168294,-4594.203420782741
,,,,,,[3.6672025 0.01      6.009303 ],0.18684219538852256,0.12656194546590172,-4594.204268188656
,,,,,,[3.4943495 0.01      6.167458 ],0.18684213010818418,0.12643286654646246,-4594.202184608588
,,,,,,[3.4176857 0.01      6.4444475],0.18684188858979625,0.12830467330093498,-4594.196825325883
,,,,,,[3.2083895 0.01      6.6674004],0.18684078715114436,0.12844444743586791,-4594.163987894872
,,,,,,[2.9812963 0.01      6.9210877],0.18683570154429407,0.1287079677454379,-4594.01198773703
,,,,,,[2.6879869 0.01      7.1332126],0.18681416975978732,0.1279723701925377,-4593.366587932688
,,,,,,[2.4898262 0.01      7.477123 ],0.18672408003283839,0.1293510238299369,-4590.6706693722845
,,,,,,[2.2111433 0.01      7.590487 ],0.18654224226887597,0.12783225492876582,-4585.224906173371
,,,,,,[1.9824061 0.01      7.773308 ],0.1861035665323114,0.12742628560943103,-4572.090496115292
,,,,,,[1.707522 0.01     7.979292],0.18494778192079686,0.1268121380283631,-4537.485552281647
,,,,,,[1.4390436 0.01      8.243303 ],0.1820963925365079,0.12680235783446037,-4452.114602852083
,,,,,,[1.1802065 0.01      8.591258 ],0.17531894847057503,0.12767026243607305,-4249.197983752706
,,,,,,[0.96384746 0.01       8.935056  ],0.16465826569748568,0.12889453554817365,-3930.017089071047
,,,,,,[0.66229105 0.01       9.181728  ],0.15119016326471355,0.12842540341428688,-3526.780020155317
,,,,,,[0.46898544 0.01       9.423155  ],0.13986687715416057,0.12890750224307368,-3187.759960022021
,,,,,,[0.19746703 0.01       9.724316  ],0.1285331227460489,0.12923140432963365,-2848.426319609386
,,,,,,[ 0.01  0.01 10.  ],0.12520100000616413,0.13009300143860614,-2748.66302731773
,,,,,,[ 0.01  0.01 10.  ],0.12520100000616413,0.13009300143860614,-2748.66302731773
,,,,,,[ 0.01  0.01 10.  ],0.12520100000616413,0.13009300143860614,-2748.66302731773
,,,,,,[ 0.01  0.01 10.  ],0.12520100000616413,0.13009300143860614,-2748.66302731773
,,,,,,[ 0.01  0.01 10.  ],0.12520100000616413,0.13009300143860614,-2748.66302731773
,,,,,,[ 0.01  0.01 10.  ],0.12520100000616413,0.13009300143860614,-2748.66302731773
,,,,,,[ 0.01  0.01 10.  ],0.12520100000616413,0.13009300143860614,-2748.66302731773
,,,,,,[ 0.01  0.01 10.  ],0.12520100000616413,0.13009300143860614,-2748.66302731773
,,,,,,[ 0.01  0.01 10.  ],0.12520100000616413,0.13009300143860614,-2748.66302731773
,,,,,,[ 0.01  0.01 10.  ],0.12520100000616413,0.13009300143860614,-2748.66302731773
,,,,,,[ 0.01  0.01 10.  ],0.12520100000616413,0.13009300143860614,-2748.66302731773
,,,,,,[ 0.01  0.01 10.  ],0.12520100000616413,0.13009300143860614,-2748.66302731773
,,,,,,[ 0.01  0.01 10.  ],0.12520100000616413,0.13009300143860614,-2748.66302731773
,,,,,,[ 0.01  0.01 10.  ],0.12520100000616413,0.13009300143860614,-2748.66302731773
,,,,,,[ 0.01  0.01 10.  ],0.12520100000616413,0.13009300143860614,-2748.66302731773
,,,,,,[ 0.01  0.01 10.  ],0.12520100000616413,0.13009300143860614,-2748.66302731773
,,,,,,[ 0.01  0.01 10.  ],0.12520100000616413,0.13009300143860614,-2748.66302731773
,,,,,,[ 0.01  0.01 10.  ],0.12520100000616413,0.13009300143860614,-2748.66302731773
,,,,,,[ 0.01  0.01 10.  ],0.12520100000616413,0.13009300143860614,-2748.66302731773
,,,,,,[ 0.01  0.01 10.  ],0.12520100000616413,0.13009300143860614,-2748.66302731773
,,,,,,[ 0.01  0.01 10.  ],0.12520100000616413,0.13009300143860614,-2748.66302731773
,,,,,,[ 0.01  0.01 10.  ],0.12520100000616413,0.13009300143860614,-2748.66302731773
,,,,,,[ 0.01  0.01 10.  ],0.12520100000616413,0.13009300143860614,-2748.66302731773
,,,,,,[ 0.01  0.01 10.  ],0.12520100000616413,0.13009300143860614,-2748.66302731773
,,,,,,[ 0.01  0.01 10.  ],0.12520100000616413,0.13009300143860614,-2748.66302731773
,,,,,,[ 0.01  0.01 10.  ],0.12520100000616413,0.13009300143860614,-2748.66302731773
,,,,,,[ 0.01  0.01 10.  ],0.12520100000616413,0.13009300143860614,-2748.66302731773
,,,,,,[ 0.01  0.01 10.  ],0.12520100000616413,0.13009300143860614,-2748.66302731773
,,,,,,[ 0.01  0.01 10.  ],0.12520100000616413,0.13009300143860614,-2748.66302731773
,,,,,,[ 0.01  0.01 10.  ],0.12520100000616413,0.13009300143860614,-2748.66302731773
,,,,,,[ 0.01  0.01 10.  ],0.12520100000616413,0.13009300143860614,-2748.66302731773
,,,,,,[ 0.01  0.01 10.  ],0.12520100000616413,0.13009300143860614,-2748.66302731773
,,,,,,[ 0.01  0.01 10.  ],0.12520100000616413,0.13009300143860614,-2748.66302731773
,,,,,,[ 0.01  0.01 10.  ],0.12520100000616413,0.13009300143860614,-2748.66302731773
,,,,,,[ 0.01  0.01 10.  ],0.12520100000616413,0.13009300143860614,-2748.66302731773
,,,,,,[ 0.01  0.01 10.  ],0.12520100000616413,0.13009300143860614,-2748.66302731773
,,,,,,[ 0.01  0.01 10.  ],0.12520100000616413,0.13009300143860614,-2748.66302731773
,,,,,,[ 0.01  0.01 10.  ],0.12520100000616413,0.13009300143860614,-2748.66302731773
,,,,,,[ 0.01  0.01 10.  ],0.12520100000616413,0.13009300143860614,-2748.66302731773
,,,,,,[ 0.01  0.01 10.  ],0.12520100000616413,0.13009300143860614,-2748.66302731773
,,,,,,[ 0.01  0.01 10.  ],0.12520100000616413,0.13009300143860614,-2748.66302731773
,,,,,,[ 0.01  0.01 10.  ],0.12520100000616413,0.13009300143860614,-2748.66302731773
,,,,,,[ 0.01  0.01 10.  ],0.12520100000616413,0.13009300143860614,-2748.66302731773
,,,,,,[ 0.01  0.01 10.  ],0.12520100000616413,0.13009300143860614,-2748.66302731773
,,,,,,[ 0.01  0.01 10.  ],0.12520100000616413,0.13009300143860614,-2748.66302731773
,,,,,,[ 0.01  0.01 10.  ],0.12520100000616413,0.13009300143860614,-2748.66302731773
,,,,,,[ 0.01  0.01 10.  ],0.12520100000616413,0.13009300143860614,-2748.66302731773
,,,,,,[ 0.01  0.01 10.  ],0.12520100000616413,0.13009300143860614,-2748.66302731773
,,,,,,[ 0.01  0.01 10.  ],0.12520100000616413,0.13009300143860614,-2748.66302731773
,,,,,,[ 0.01  0.01 10.  ],0.12520100000616413,0.13009300143860614,-2748.66302731773
,,,,,,[ 0.01  0.01 10.  ],0.12520100000616413,0.13009300143860614,-2748.66302731773
,,,,,,[ 0.01  0.01 10.  ],0.12520100000616413,0.13009300143860614,-2748.66302731773
,,,,,,[ 0.01  0.01 10.  ],0.12520100000616413,0.13009300143860614,-2748.66302731773
,,,,,,[ 0.01  0.01 10.  ],0.12520100000616413,0.13009300143860614,-2748.66302731773
