optimal index,optimal thicknesses,predicted dose,actual dose,accuracy,thickness values,dose values,cost values,reward values
84,10,0.079048566,0.09161,0.137118587,[0.25598344 0.18820082],0.978703305,0.459493631,-9456.691383
,1.986508369,,,,[0.49706626 0.45773524],0.959564495,1.145538571,-9252.902967
,,,,,[1.1891088 1.0671234],0.894896708,2.905129015,-8563.767396
,,,,,[1.6447397 1.3899148],0.845344659,3.948400917,-8035.40843
,,,,,[1.5616906 1.4033699],0.851350299,3.992457386,-8099.615306
,,,,,[2.5501995 2.1815495],0.720035663,6.795982337,-6699.484685
,,,,,[3.037717 2.440863],0.654508356,7.811000083,-6000.421642
,,,,,[3.4304793 2.6510568],0.599612402,8.65923152,-5414.774635
,,,,,[3.7848325 2.9507658],0.543132068,9.902334122,-4812.595372
,,,,,[3.7416587 2.9693134],0.546925373,9.979866411,-4853.199667
,,,,,[4.5037684 3.5042343],0.432624493,12.29213134,-3634.348678
,,,,,[4.854185  3.7625878],0.381244639,13.44108386,-3086.567571
,,,,,[5.1991396 3.933026 ],0.336667824,14.20919919,-2611.08766
,,,,,[5.55133   4.0352664],0.29640131,14.67435052,-2181.355008
,,,,,[5.887041 4.220749],0.256186671,15.51954175,-1752.55662
,,,,,[6.053278  4.3061776],0.237496443,15.91056342,-1553.265724
,,,,,[6.5278587 4.5238757],0.188833157,16.91091782,-1034.359173
,,,,,[6.831807  4.7186894],0.158900332,17.80737467,-715.4604932
,,,,,[6.955996  4.7211456],0.149877732,17.81995944,-619.0777783
,,,,,[7.375023  4.9791927],0.114928075,19.00815921,-246.8722089
,,,,,[7.619213 5.170091],0.096179984,19.88471441,-47.44865037
,,,,,[7.852658  5.2013063],0.083505382,20.02982281,-20.02982281
,,,,,[8.021339  5.3175735],0.073245821,20.56198377,-20.56198377
,,,,,[8.206857  5.3789926],0.064277459,20.84345895,-20.84345895
,,,,,[8.328468  5.2853413],0.061245598,20.41835574,-20.41835574
,,,,,[8.489436  5.1719856],0.057360702,19.90258941,-19.90258941
,,,,,[8.587047  5.0958233],0.055315856,19.55525863,-19.55525863
,,,,,[8.702055 5.124418],0.051136606,19.6873228,-19.6873228
,,,,,[8.860293  4.9856124],0.048679261,19.05332117,-19.05332117
,,,,,[8.991896  4.6324806],0.050766123,17.43480326,-17.43480326
