optimal index,optimal thicknesses,predicted dose,actual dose,accuracy,thickness values,dose values,cost values,reward values
,,,,,[9.0939045 4.4877853],0.050462075,16.77280912,-16.77280912
,,,,,[9.17609  4.363651],0.050460174,16.20595622,-16.20595622
,,,,,[9.306259  4.2552485],0.049185369,15.71278736,-15.71278736
,,,,,[9.411703  4.2095175],0.047663753,15.50569022,-15.50569022
,,,,,[9.588453  3.9871209],0.047914625,14.49940937,-14.49940937
,,,,,[9.761618 3.883251],0.046796206,14.03337911,-14.03337911
,,,,,[9.937005  3.8453403],0.045149144,13.86501893,-13.86501893
,,,,,[10.         3.5820048],0.048610491,12.6927041,-12.6927041
,,,,,[10.         3.3238406],0.052917604,11.56142055,-11.56142055
,,,,,[10.         3.0724375],0.057360419,10.48113739,-10.48113739
,,,,,[10.         3.0650148],0.05749519,10.44959794,-10.44959794
,,,,,[10.         3.2028468],0.055025986,11.03866116,-11.03866116
,,,,,[10.         3.0907462],0.057028863,10.55902307,-10.55902307
,,,,,[10.         3.1681178],0.055641451,10.88957039,-10.88957039
,,,,,[10.        3.027994],0.058170379,10.29261563,-10.29261563
,,,,,[10.         3.1845572],0.055349546,10.96008978,-10.96008978
,,,,,[10.         3.0546966],0.057682871,10.40579058,-10.40579058
,,,,,[10.         2.6889923],0.064579878,8.881729158,-8.881729158
,,,,,[10.         2.8592281],0.061310952,9.584035259,-9.584035259
,,,,,[10.         2.8600242],0.0612959,9.587349608,-9.587349608
,,,,,[10.        2.718969],0.06399708,9.004448183,-9.004448183
,,,,,[10.         2.6407888],0.065523342,8.685272621,-8.685272621
,,,,,[10.        2.756737],0.063267138,9.159648922,-9.159648922
,,,,,[10.         2.7410812],0.063569129,9.095235439,-9.095235439
,,,,,[10.         2.7703204],0.063005798,9.215625809,-9.215625809
,,,,,[10.         2.4935486],0.068452438,8.092102347,-8.092102347
,,,,,[10.        2.445371],0.069425965,7.900349781,-7.900349781
,,,,,[10.         2.4553862],0.069222984,7.940114523,-7.940114523
,,,,,[10.         2.8021986],0.06239496,9.347319616,-9.347319616
,,,,,[10.        2.899257],0.060556882,9.751025292,-9.751025292
,,,,,[10.         2.5157619],0.068006056,8.180907441,-8.180907441
,,,,,[10.       2.43233],0.069690742,7.848648373,-7.848648373
,,,,,[10.         2.2927072],0.072558455,7.300669535,-7.300669535
,,,,,[10.         2.3169503],0.072056262,7.395076465,-7.395076465
,,,,,[10.         2.5100224],0.068121241,8.157938349,-8.157938349
,,,,,[10.        2.733831],0.063709267,9.06544275,-9.06544275
,,,,,[10.         2.8119714],0.062208399,9.387782849,-9.387782849
,,,,,[10.         2.2464745],0.073521032,7.121511858,-7.121511858
,,,,,[10.         2.4282784],0.069773108,7.832604093,-7.832604093
,,,,,[10.        2.187197],0.074764435,6.893517966,-6.893517966
,,,,,[10.         2.3348417],0.071686782,7.464950465,-7.464950465
,,,,,[10.         2.5617416],0.067087107,8.365506263,-8.365506263
,,,,,[10.         2.6899383],0.06456144,8.885595713,-8.885595713
,,,,,[10.        2.447591],0.069380942,7.909160304,-7.909160304
,,,,,[10.         2.4867887],0.068588592,8.065126469,-8.065126469
,,,,,[10.         2.1566176],0.075409862,6.77666747,-6.77666747
,,,,,[10.         2.2357235],0.073745779,7.080017347,-7.080017347
,,,,,[10.         2.2022672],0.074447349,6.951296768,-6.951296768
,,,,,[10.        2.336338],0.071655925,7.470801974,-7.470801974
,,,,,[10.         2.2667282],0.073098563,7.199854417,-7.199854417
,,,,,[10.        2.290713],0.072599842,7.292918104,-7.292918104
,,,,,[10.         2.2710109],0.073009386,7.21644887,-7.21644887
,,,,,[10.         2.1320949],0.075929397,6.683340612,-6.683340612
,,,,,[10.        2.131121],0.075950066,6.679641096,-6.679641096
,,,,,[10.         1.9865084],0.079048566,6.13638896,-6.13638896
,,,,,[10.         2.1297834],0.075978456,6.674561365,-6.674561365
,,,,,[10.         2.3683546],0.070997319,7.596290252,-7.596290252
,,,,,[10.         2.1859615],0.074790459,6.888786755,-6.888786755
,,,,,[10.         2.3382888],0.071615707,7.478432354,-7.478432354
,,,,,[10.        2.204674],0.074396769,6.960536212,-6.960536212
,,,,,[10.         2.2880394],0.07265535,7.282528769,-7.282528769
,,,,,[10.         2.3129072],0.072139891,7.379310009,-7.379310009
,,,,,[10.         2.0353086],0.077996482,6.318353689,-6.318353689
,,,,,[10.         2.2048843],0.074392351,6.961343615,-6.961343615
,,,,,[10.         2.1638596],0.075256765,6.804293246,-6.804293246
,,,,,[10.         2.1809053],0.074897009,6.869433458,-6.869433458
,,,,,[10.        2.136023],0.07584606,6.698267304,-6.698267304
,,,,,[10.         2.2225997],0.07402059,7.029451098,-7.029451098
,,,,,[10.        2.058675],0.077495042,6.405975096,-6.405975096
,,,,,[10.         2.1770926],0.074977407,6.854848767,-6.854848767
